"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ppsm_laterality_idx,oct_image_analysis,,radio,"PPSM - Laterality (Index visit)","1, OD | 2, OS | 3, OU",,,,,,"[ppsm_confirmed_idx] = '1' or [ppsm_confirmed_idx] = '2'",,,,,,
ppsm_stage_od_idx,oct_image_analysis,,dropdown,"Disease Stage (Wang et al. PPSM Classification) - OD (Index visit)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe) | 4, N/A","Wang et al. PPS Maculopathy Classification. Stage 1 (Mild): speckled hypo-/hyperautofluorescence pattern centered on the fovea, without well-demarcated atrophy on FAF or cRORA on SD-OCT. Stage 2 (Moderate): well-demarcated, nummular, hypoautofluorescent atrophic lesion(s) on FAF corresponding to cRORA on SD-OCT in the macula, without foveal involvement. Stage 3 (Severe): geographic atrophy and cRORA involving the fovea.",,,,,,,,,,,
ppsm_stage_os_idx,oct_image_analysis,,dropdown,"Disease Stage (Wang et al. PPSM Classification) - OS (Index visit)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe) | 4, N/A","Wang et al. PPS Maculopathy Classification. Stage 1 (Mild): speckled hypo-/hyperautofluorescence pattern centered on the fovea, without well-demarcated atrophy on FAF or cRORA on SD-OCT. Stage 2 (Moderate): well-demarcated, nummular, hypoautofluorescent atrophic lesion(s) on FAF corresponding to cRORA on SD-OCT in the macula, without foveal involvement. Stage 3 (Severe): geographic atrophy and cRORA involving the fovea.",,,,,,,,,,,
grader_notes_idx,oct_image_analysis,,notes,Notes,,,,,,,,,,,,,
images_available_lv,oct_image_analysis,"Multimodal Image Analysis - Last Visit",checkbox,"Images Available (Last available visit) (select all that apply)","1, OCT | 2, Fundus Photo (CFP) | 3, Fluorescein Angiography (FA) | 4, Fundus Autofluorescence (FAF) | 5, OCT Angiography (OCTA)",,,,,,,,,,,,
date_oct_lv,oct_image_analysis,"OCT Findings",text,"Date of OCT (Last available visit)",,,date_mdy,,,,"[images_available_lv(1)] = '1'",,,,,,
oct_cst_od_lv,oct_image_analysis,,text,"CST (µm) - OD",,,number,0,1500,,"[images_available_lv(1)] = '1'",,,,,,
oct_cst_os_lv,oct_image_analysis,,text,"CST (µm) - OS",,,number,0,1500,,"[images_available_lv(1)] = '1'",,,,,,
oct_findings_od_lv,oct_image_analysis,,checkbox,"OCT Findings - OD (select all that apply)","1, cRORA (complete RPE and outer retinal atrophy) | 2, Outer retinal tubulations | 3, Acquired vitelliform lesion / SHRM | 4, Subretinal fluid | 5, Epiretinal membrane (ERM) | 6, Vitreomacular traction (VMT) | 7, Ellipsoid zone (EZ) disruption | 8, Foveal/inner-outer lamellar cystic cavities | 9, Other | 10, None",,,,,,"[images_available_lv(1)] = '1'",,,,,,
oct_findings_od_lv_other,oct_image_analysis,,text,"If other OCT finding (OD), specify",,,,,,,"[oct_findings_od_lv(9)] = '1'",,,,,,
oct_findings_os_lv,oct_image_analysis,,checkbox,"OCT Findings - OS (select all that apply)","1, cRORA (complete RPE and outer retinal atrophy) | 2, Outer retinal tubulations | 3, Acquired vitelliform lesion / SHRM | 4, Subretinal fluid | 5, Epiretinal membrane (ERM) | 6, Vitreomacular traction (VMT) | 7, Ellipsoid zone (EZ) disruption | 8, Foveal/inner-outer lamellar cystic cavities | 9, Other | 10, None",,,,,,"[images_available_lv(1)] = '1'",,,,,,
oct_findings_os_lv_other,oct_image_analysis,,text,"If other OCT finding (OS), specify",,,,,,,"[oct_findings_os_lv(9)] = '1'",,,,,,
date_cfp_lv,oct_image_analysis,"Color Fundus Photography",text,"Date of Fundus Photo / CFP (Last available visit)",,,date_mdy,,,,"[images_available_lv(2)] = '1'",,,,,,
cfp_findings_od_lv,oct_image_analysis,,checkbox,"Fundus Photo Findings - OD (select all that apply)","1, RPE mottling | 2, CHRPE-like lesion(s) | 3, Pigmentary/hyperpigmented changes | 4, Atrophic or depigmented lesion | 5, Retinal hemorrhage | 6, Other | 7, None",,,,,,"[images_available_lv(2)] = '1'",,,,,,
cfp_findings_od_lv_other,oct_image_analysis,,text,"If other fundus photo finding (OD), specify",,,,,,,"[cfp_findings_od_lv(6)] = '1'",,,,,,
cfp_findings_os_lv,oct_image_analysis,,checkbox,"Fundus Photo Findings - OS (select all that apply)","1, RPE mottling | 2, CHRPE-like lesion(s) | 3, Pigmentary/hyperpigmented changes | 4, Atrophic or depigmented lesion | 5, Retinal hemorrhage | 6, Other | 7, None",,,,,,"[images_available_lv(2)] = '1'",,,,,,
cfp_findings_os_lv_other,oct_image_analysis,,text,"If other fundus photo finding (OS), specify",,,,,,,"[cfp_findings_os_lv(6)] = '1'",,,,,,
date_fa_lv,oct_image_analysis,"Fluorescein Angiography (FA)",text,"Date of Fluorescein Angiography (Last available visit)",,,date_mdy,,,,"[images_available_lv(3)] = '1'",,,,,,
fa_findings_od_lv,oct_image_analysis,,checkbox,"FA Findings - OD (select all that apply)","1, Late staining/leakage | 2, Window defect (RPE/atrophic change) | 3, Blocked fluorescence | 4, No significant abnormality",,,,,,"[images_available_lv(3)] = '1'",,,,,,
fa_findings_os_lv,oct_image_analysis,,checkbox,"FA Findings - OS (select all that apply)","1, Late staining/leakage | 2, Window defect (RPE/atrophic change) | 3, Blocked fluorescence | 4, No significant abnormality",,,,,,"[images_available_lv(3)] = '1'",,,,,,
date_octa_lv,oct_image_analysis,"OCT Angiography (OCTA)",text,"Date of OCTA (Last available visit)",,,date_mdy,,,,"[images_available_lv(5)] = '1'",,,,,,
octa_findings_od_lv,oct_image_analysis,,checkbox,"OCTA Findings - OD (select all that apply)","1, Choriocapillaris (CC) flow deficits | 2, Macular neovascularization (MNV) - Type 1 | 3, Macular neovascularization (MNV) - Type 2 | 4, Macular neovascularization (MNV) - Type 3 | 5, No flow abnormality",,,,,,"[images_available_lv(5)] = '1'",,,,,,
octa_findings_os_lv,oct_image_analysis,,checkbox,"OCTA Findings - OS (select all that apply)","1, Choriocapillaris (CC) flow deficits | 2, Macular neovascularization (MNV) - Type 1 | 3, Macular neovascularization (MNV) - Type 2 | 4, Macular neovascularization (MNV) - Type 3 | 5, No flow abnormality",,,,,,"[images_available_lv(5)] = '1'",,,,,,
date_faf_lv,oct_image_analysis,"Fundus Autofluorescence (FAF)",text,"Date of FAF (Last available visit)",,,date_mdy,,,,"[images_available_lv(4)] = '1'",,,,,,
faf_findings_od_lv,oct_image_analysis,,checkbox,"FAF Findings - OD (select all that apply)","1, Speckled hyper-/hypoautofluorescence pattern (centered on fovea) | 2, Well-demarcated nummular hypoautofluorescent atrophic lesion(s) | 3, Geographic atrophy involving the fovea | 4, Contiguous atrophic lesions | 5, Non-contiguous/discrete atrophic lesions | 6, No autofluorescence abnormality",,,,,,"[images_available_lv(4)] = '1'",,,,,,
faf_findings_os_lv,oct_image_analysis,,checkbox,"FAF Findings - OS (select all that apply)","1, Speckled hyper-/hypoautofluorescence pattern (centered on fovea) | 2, Well-demarcated nummular hypoautofluorescent atrophic lesion(s) | 3, Geographic atrophy involving the fovea | 4, Contiguous atrophic lesions | 5, Non-contiguous/discrete atrophic lesions | 6, No autofluorescence abnormality",,,,,,"[images_available_lv(4)] = '1'",,,,,,
ppsm_confirmed_lv,oct_image_analysis,"PPSM Confirmation",radio,"PPSM Confirmed? (Last available visit)","1, Yes | 2, Unclear - Likely Yes | 3, Unclear - Likely No | 4, No",,,,,,,y,,,,,
ppsm_laterality_lv,oct_image_analysis,,radio,"PPSM - Laterality (Last available visit)","1, OD | 2, OS | 3, OU",,,,,,"[ppsm_confirmed_lv] = '1' or [ppsm_confirmed_lv] = '2'",,,,,,
ppsm_stage_od_lv,oct_image_analysis,,dropdown,"Disease Stage (Wang et al. PPSM Classification) - OD (Last available visit)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe) | 4, N/A","Wang et al. PPS Maculopathy Classification. Stage 1 (Mild): speckled hypo-/hyperautofluorescence pattern centered on the fovea, without well-demarcated atrophy on FAF or cRORA on SD-OCT. Stage 2 (Moderate): well-demarcated, nummular, hypoautofluorescent atrophic lesion(s) on FAF corresponding to cRORA on SD-OCT in the macula, without foveal involvement. Stage 3 (Severe): geographic atrophy and cRORA involving the fovea.",,,,,,,,,,,
ppsm_stage_os_lv,oct_image_analysis,,dropdown,"Disease Stage (Wang et al. PPSM Classification) - OS (Last available visit)","1, Stage 1 (Mild) | 2, Stage 2 (Moderate) | 3, Stage 3 (Severe) | 4, N/A","Wang et al. PPS Maculopathy Classification. Stage 1 (Mild): speckled hypo-/hyperautofluorescence pattern centered on the fovea, without well-demarcated atrophy on FAF or cRORA on SD-OCT. Stage 2 (Moderate): well-demarcated, nummular, hypoautofluorescent atrophic lesion(s) on FAF corresponding to cRORA on SD-OCT in the macula, without foveal involvement. Stage 3 (Severe): geographic atrophy and cRORA involving the fovea.",,,,,,,,,,,
grader_notes_lv,oct_image_analysis,,notes,Notes,,,,,,,,,,,,,
